State,City,Airport,Airline,FlightCount,AvgDelay
Arizona,"Flagstaff, AZ",FLG,SkyWest Airlines,110,21.51818181818182
Arizona,"Phoenix, AZ",AZA,Allegiant Air,508,16.004024144869216
Arizona,"Phoenix, AZ",PHX,Allegiant Air,34,25.294117647058822
Arizona,"Phoenix, AZ",PHX,American Airlines,1188,18.462774957698816
Arizona,"Phoenix, AZ",PHX,Delta Air Lines,867,12.300230946882218
Arizona,"Phoenix, AZ",PHX,Envoy Air,334,18.65045592705167
Arizona,"Phoenix, AZ",PHX,Frontier Airlines,709,11.771754636233952
Arizona,"Phoenix, AZ",PHX,Hawaiian Airlines,31,10.935483870967742
Arizona,"Phoenix, AZ",PHX,JetBlue Airways,13,0.15384615384615385
Arizona,"Phoenix, AZ",PHX,Mesa Airlines,98,55.23913043478261
Arizona,"Phoenix, AZ",PHX,SkyWest Airlines,2158,9.066200466200467
Arizona,"Phoenix, AZ",PHX,Southwest Airlines,5215,11.938341463414634
Arizona,"Phoenix, AZ",PHX,Spirit Airlines,127,16.6
Arizona,"Phoenix, AZ",PHX,United Airlines,799,12.217573221757322
Arizona,"Prescott, AZ",PRC,SkyWest Airlines,61,18.40983606557377
Arizona,"Tucson, AZ",TUS,American Airlines,38,3.4054054054054053
Arizona,"Tucson, AZ",TUS,Delta Air Lines,127,13.669291338582678
Arizona,"Tucson, AZ",TUS,Envoy Air,24,8.416666666666666
Arizona,"Tucson, AZ",TUS,Mesa Airlines,23,56.31818181818182
Arizona,"Tucson, AZ",TUS,SkyWest Airlines,641,11.5921875
Arizona,"Tucson, AZ",TUS,Southwest Airlines,355,9.177650429799426
Arizona,"Tucson, AZ",TUS,United Airlines,124,33.074380165289256
Arizona,"Yuma, AZ",YUM,SkyWest Airlines,111,15.73873873873874
California,"Arcata/Eureka, CA",ACV,SkyWest Airlines,148,24.379310344827587
California,"Bakersfield, CA",BFL,Envoy Air,1,10.0
California,"Bakersfield, CA",BFL,SkyWest Airlines,117,6.333333333333333
California,"Bishop, CA",BIH,SkyWest Airlines,53,18.80392156862745
California,"Burbank, CA",BUR,American Airlines,5,210.4
California,"Burbank, CA",BUR,JetBlue Airways,6,0.0
California,"Burbank, CA",BUR,SkyWest Airlines,411,13.080487804878048
California,"Burbank, CA",BUR,Southwest Airlines,1482,8.441939890710383
California,"Burbank, CA",BUR,Spirit Airlines,78,9.25
California,"Burbank, CA",BUR,United Airlines,40,18.42105263157895
California,"Fresno, CA",FAT,Allegiant Air,39,13.205128205128204
California,"Fresno, CA",FAT,American Airlines,18,21.666666666666668
California,"Fresno, CA",FAT,SkyWest Airlines,481,11.95625
California,"Fresno, CA",FAT,Southwest Airlines,118,14.169491525423728
California,"Fresno, CA",FAT,United Airlines,24,4.416666666666667
California,"Long Beach, CA",LGB,Delta Air Lines,28,11.357142857142858
California,"Long Beach, CA",LGB,Hawaiian Airlines,31,7.483870967741935
California,"Long Beach, CA",LGB,SkyWest Airlines,62,10.838709677419354
California,"Long Beach, CA",LGB,Southwest Airlines,1363,9.570254110612854
California,"Los Angeles, CA",LAX,Allegiant Air,55,25.814814814814813
California,"Los Angeles, CA",LAX,American Airlines,956,18.521008403361346
California,"Los Angeles, CA",LAX,Delta Air Lines,2754,10.5877640203933
California,"Los Angeles, CA",LAX,Hawaiian Airlines,188,11.167567567567568
California,"Los Angeles, CA",LAX,JetBlue Airways,178,5.522471910112359
California,"Los Angeles, CA",LAX,SkyWest Airlines,3250,8.57997520148791
California,"Los Angeles, CA",LAX,Southwest Airlines,2093,12.250605913717887
California,"Los Angeles, CA",LAX,Spirit Airlines,920,10.676600441501103
California,"Los Angeles, CA",LAX,United Airlines,1979,15.932300631095812
California,"Monterey, CA",MRY,Allegiant Air,9,40.333333333333336
California,"Monterey, CA",MRY,Envoy Air,23,8.681818181818182
California,"Monterey, CA",MRY,SkyWest Airlines,244,10.14344262295082
California,"Oakland, CA",OAK,Allegiant Air,5,30.8
California,"Oakland, CA",OAK,Delta Air Lines,55,13.481481481481481
California,"Oakland, CA",OAK,Hawaiian Airlines,88,5.729411764705882
California,"Oakland, CA",OAK,SkyWest Airlines,163,13.099378881987578
California,"Oakland, CA",OAK,Southwest Airlines,2987,10.305527297388945
California,"Oakland, CA",OAK,Spirit Airlines,172,11.935294117647059
California,"Ontario, CA",ONT,American Airlines,27,8.185185185185185
California,"Ontario, CA",ONT,Delta Air Lines,180,5.4860335195530725
California,"Ontario, CA",ONT,Envoy Air,7,4.142857142857143
California,"Ontario, CA",ONT,Frontier Airlines,179,14.803370786516854
California,"Ontario, CA",ONT,Hawaiian Airlines,32,42.87096774193548
California,"Ontario, CA",ONT,JetBlue Airways,6,7.833333333333333
California,"Ontario, CA",ONT,SkyWest Airlines,156,14.692307692307692
California,"Ontario, CA",ONT,Southwest Airlines,890,10.03178206583428
California,"Ontario, CA",ONT,United Airlines,62,12.806451612903226
California,"Palm Springs, CA",PSP,Allegiant Air,9,24.555555555555557
California,"Palm Springs, CA",PSP,American Airlines,7,68.28571428571429
California,"Palm Springs, CA",PSP,Delta Air Lines,128,6.7578125
California,"Palm Springs, CA",PSP,Envoy Air,31,18.64516129032258
California,"Palm Springs, CA",PSP,SkyWest Airlines,454,11.326710816777043
California,"Palm Springs, CA",PSP,Southwest Airlines,276,10.032608695652174
California,"Palm Springs, CA",PSP,United Airlines,163,20.03125
California,"Redding, CA",RDD,SkyWest Airlines,93,12.301075268817204
California,"Sacramento, CA",SMF,American Airlines,60,16.322033898305083
California,"Sacramento, CA",SMF,Delta Air Lines,247,15.526315789473685
California,"Sacramento, CA",SMF,Envoy Air,43,16.627906976744185
California,"Sacramento, CA",SMF,Frontier Airlines,19,12.789473684210526
California,"Sacramento, CA",SMF,Hawaiian Airlines,62,10.5
California,"Sacramento, CA",SMF,JetBlue Airways,6,0.0
California,"Sacramento, CA",SMF,SkyWest Airlines,709,10.30028328611898
California,"Sacramento, CA",SMF,Southwest Airlines,2369,9.188832054560955
California,"Sacramento, CA",SMF,Spirit Airlines,110,16.21818181818182
California,"Sacramento, CA",SMF,United Airlines,232,9.092592592592593
California,"San Diego, CA",SAN,Allegiant Air,10,8.7
California,"San Diego, CA",SAN,American Airlines,152,21.32
California,"San Diego, CA",SAN,Delta Air Lines,663,7.901812688821752
California,"San Diego, CA",SAN,Frontier Airlines,220,11.404545454545454
California,"San Diego, CA",SAN,Hawaiian Airlines,58,16.03448275862069
California,"San Diego, CA",SAN,JetBlue Airways,25,36.84
California,"San Diego, CA",SAN,SkyWest Airlines,949,10.46673706441394
California,"San Diego, CA",SAN,Southwest Airlines,2705,10.722263868065967
California,"San Diego, CA",SAN,Spirit Airlines,157,4.356687898089172
California,"San Diego, CA",SAN,United Airlines,747,14.758675078864353
California,"San Francisco, CA",SFO,American Airlines,236,33.563559322033896
California,"San Francisco, CA",SFO,Delta Air Lines,885,11.452894438138479
California,"San Francisco, CA",SFO,Envoy Air,14,25.428571428571427
California,"San Francisco, CA",SFO,Frontier Airlines,194,34.91237113402062
California,"San Francisco, CA",SFO,Hawaiian Airlines,64,7.55
California,"San Francisco, CA",SFO,JetBlue Airways,67,10.313432835820896
California,"San Francisco, CA",SFO,SkyWest Airlines,2940,15.203691045796308
California,"San Francisco, CA",SFO,Southwest Airlines,586,17.900514579759864
California,"San Francisco, CA",SFO,United Airlines,3553,16.866004962779158
California,"San Jose, CA",SJC,American Airlines,13,26.384615384615383
California,"San Jose, CA",SJC,Delta Air Lines,178,13.769662921348315
California,"San Jose, CA",SJC,Envoy Air,15,4.666666666666667
California,"San Jose, CA",SJC,Hawaiian Airlines,49,4.458333333333333
California,"San Jose, CA",SJC,SkyWest Airlines,647,8.413416536661467
California,"San Jose, CA",SJC,Southwest Airlines,2388,8.779983108108109
California,"San Jose, CA",SJC,Spirit Airlines,92,15.543478260869565
California,"San Jose, CA",SJC,United Airlines,146,7.8936170212765955
California,"San Luis Obispo, CA",SBP,Envoy Air,23,15.91304347826087
California,"San Luis Obispo, CA",SBP,SkyWest Airlines,258,14.369649805447471
California,"San Luis Obispo, CA",SBP,United Airlines,31,2.838709677419355
California,"Santa Ana, CA",SNA,Allegiant Air,94,45.75824175824176
California,"Santa Ana, CA",SNA,American Airlines,273,24.322222222222223
California,"Santa Ana, CA",SNA,Delta Air Lines,344,12.290697674418604
California,"Santa Ana, CA",SNA,Frontier Airlines,96,29.114583333333332
California,"Santa Ana, CA",SNA,SkyWest Airlines,331,15.069486404833837
California,"Santa Ana, CA",SNA,Southwest Airlines,1254,9.796296296296296
California,"Santa Ana, CA",SNA,Spirit Airlines,102,8.564356435643564
California,"Santa Ana, CA",SNA,United Airlines,494,7.236139630390143
California,"Santa Barbara, CA",SBA,American Airlines,59,12.813559322033898
California,"Santa Barbara, CA",SBA,SkyWest Airlines,117,8.965811965811966
California,"Santa Barbara, CA",SBA,Southwest Airlines,177,6.44
California,"Santa Barbara, CA",SBA,United Airlines,124,26.39669421487603
California,"Santa Maria, CA",SMX,Allegiant Air,9,69.66666666666667
California,"Santa Rosa, CA",STS,SkyWest Airlines,243,14.7375
California,"Stockton, CA",SCK,Allegiant Air,39,22.743589743589745
Colorado,"Aspen, CO",ASE,SkyWest Airlines,970,34.8991888760139
Colorado,"Colorado Springs, CO",COS,CommuteAir,48,27.282608695652176
Colorado,"Colorado Springs, CO",COS,Delta Air Lines,30,3.1333333333333333
Colorado,"Colorado Springs, CO",COS,Envoy Air,7,6.142857142857143
Colorado,"Colorado Springs, CO",COS,SkyWest Airlines,358,21.384180790960453
Colorado,"Colorado Springs, CO",COS,Southwest Airlines,409,9.13681592039801
Colorado,"Colorado Springs, CO",COS,United Airlines,58,16.210526315789473
Colorado,"Denver, CO",DEN,Allegiant Air,25,17.304347826086957
Colorado,"Denver, CO",DEN,American Airlines,149,22.5
Colorado,"Denver, CO",DEN,CommuteAir,629,24.919055649241148
Colorado,"Denver, CO",DEN,Delta Air Lines,1001,12.155844155844155
Colorado,"Denver, CO",DEN,Frontier Airlines,1465,15.847317744154058
Colorado,"Denver, CO",DEN,JetBlue Airways,18,9.666666666666666
Colorado,"Denver, CO",DEN,Mesa Airlines,506,61.89855072463768
Colorado,"Denver, CO",DEN,SkyWest Airlines,3923,20.661753092919188
Colorado,"Denver, CO",DEN,Southwest Airlines,8059,18.23586118251928
Colorado,"Denver, CO",DEN,Spirit Airlines,36,45.138888888888886
Colorado,"Denver, CO",DEN,United Airlines,7884,18.599918433931485
Colorado,"Durango, CO",DRO,CommuteAir,31,16.285714285714285
Colorado,"Durango, CO",DRO,SkyWest Airlines,219,27.435185185185187
Colorado,"Durango, CO",DRO,United Airlines,54,21.314814814814813
Colorado,"Eagle, CO",EGE,American Airlines,140,64.21014492753623
Colorado,"Eagle, CO",EGE,Delta Air Lines,51,18.84313725490196
Colorado,"Eagle, CO",EGE,SkyWest Airlines,216,20.25
Colorado,"Eagle, CO",EGE,United Airlines,111,29.89908256880734
Colorado,"Grand Junction, CO",GJT,Allegiant Air,9,27.88888888888889
Colorado,"Grand Junction, CO",GJT,Envoy Air,15,3.066666666666667
Colorado,"Grand Junction, CO",GJT,Mesa Airlines,30,22.464285714285715
Colorado,"Grand Junction, CO",GJT,SkyWest Airlines,199,23.933673469387756
Colorado,"Grand Junction, CO",GJT,United Airlines,54,7.296296296296297
Colorado,"Gunnison, CO",GUC,Mesa Airlines,30,31.807692307692307
Colorado,"Gunnison, CO",GUC,SkyWest Airlines,62,28.883333333333333
Colorado,"Hayden, CO",HDN,Delta Air Lines,35,18.8
Colorado,"Hayden, CO",HDN,Envoy Air,4,3.5
Colorado,"Hayden, CO",HDN,SkyWest Airlines,64,45.140625
Colorado,"Hayden, CO",HDN,Southwest Airlines,104,16.485436893203882
Colorado,"Hayden, CO",HDN,United Airlines,157,23.96815286624204
Colorado,"Montrose/Delta, CO",MTJ,American Airlines,23,24.347826086956523
Colorado,"Montrose/Delta, CO",MTJ,Delta Air Lines,27,14.592592592592593
Colorado,"Montrose/Delta, CO",MTJ,Mesa Airlines,1,0.0
Colorado,"Montrose/Delta, CO",MTJ,SkyWest Airlines,109,23.38317757009346
Colorado,"Montrose/Delta, CO",MTJ,Southwest Airlines,100,15.42
Colorado,"Montrose/Delta, CO",MTJ,United Airlines,86,9.869047619047619
Florida,"Daytona Beach, FL",DAB,Delta Air Lines,107,16.738317757009344
Florida,"Daytona Beach, FL",DAB,PSA Airlines,36,24.470588235294116
Florida,"Fort Lauderdale, FL",FLL,Allegiant Air,284,19.953405017921146
Florida,"Fort Lauderdale, FL",FLL,American Airlines,92,17.1
Florida,"Fort Lauderdale, FL",FLL,Delta Air Lines,1094,17.344954128440367
Florida,"Fort Lauderdale, FL",FLL,Endeavor Air,14,22.285714285714285
Florida,"Fort Lauderdale, FL",FLL,Frontier Airlines,155,32.81333333333333
Florida,"Fort Lauderdale, FL",FLL,JetBlue Airways,360,14.366666666666667
Florida,"Fort Lauderdale, FL",FLL,Southwest Airlines,1405,20.26178390137781
Florida,"Fort Lauderdale, FL",FLL,Spirit Airlines,2080,23.476699029126213
Florida,"Fort Lauderdale, FL",FLL,United Airlines,823,21.03616133518776
Florida,"Fort Myers, FL",RSW,American Airlines,62,27.75
Florida,"Fort Myers, FL",RSW,Delta Air Lines,702,9.574074074074074
Florida,"Fort Myers, FL",RSW,Endeavor Air,7,19.714285714285715
Florida,"Fort Myers, FL",RSW,Envoy Air,27,12.62962962962963
Florida,"Fort Myers, FL",RSW,Frontier Airlines,418,31.029850746268657
Florida,"Fort Myers, FL",RSW,JetBlue Airways,80,26.8625
Florida,"Fort Myers, FL",RSW,PSA Airlines,7,2.2857142857142856
Florida,"Fort Myers, FL",RSW,Republic Airlines,3,0.0
Florida,"Fort Myers, FL",RSW,Southwest Airlines,694,17.364985163204746
Florida,"Fort Myers, FL",RSW,Spirit Airlines,362,16.226256983240223
Florida,"Fort Myers, FL",RSW,United Airlines,635,11.071559633027523
Florida,"Gainesville, FL",GNV,Delta Air Lines,118,8.535087719298245
Florida,"Gainesville, FL",GNV,Endeavor Air,18,14.333333333333334
Florida,"Gainesville, FL",GNV,Envoy Air,62,8.426229508196721
Florida,"Gainesville, FL",GNV,PSA Airlines,7,8.428571428571429
Florida,"Jacksonville, FL",JAX,Allegiant Air,41,25.073170731707318
Florida,"Jacksonville, FL",JAX,American Airlines,77,27.038961038961038
Florida,"Jacksonville, FL",JAX,Delta Air Lines,414,9.302663438256658
Florida,"Jacksonville, FL",JAX,Endeavor Air,88,22.406976744186046
Florida,"Jacksonville, FL",JAX,Envoy Air,119,8.64406779661017
Florida,"Jacksonville, FL",JAX,Frontier Airlines,67,12.492307692307692
Florida,"Jacksonville, FL",JAX,JetBlue Airways,24,6.375
Florida,"Jacksonville, FL",JAX,Mesa Airlines,42,19.70731707317073
Florida,"Jacksonville, FL",JAX,PSA Airlines,85,41.620253164556964
Florida,"Jacksonville, FL",JAX,Republic Airlines,83,20.11111111111111
Florida,"Jacksonville, FL",JAX,SkyWest Airlines,2,0.0
Florida,"Jacksonville, FL",JAX,Southwest Airlines,377,11.442934782608695
Florida,"Jacksonville, FL",JAX,United Airlines,350,16.89085545722714
Florida,"Key West, FL",EYW,Allegiant Air,54,30.16
Florida,"Key West, FL",EYW,Delta Air Lines,93,29.967741935483872
Florida,"Key West, FL",EYW,Endeavor Air,34,24.970588235294116
Florida,"Key West, FL",EYW,Envoy Air,174,22.53529411764706
Florida,"Key West, FL",EYW,JetBlue Airways,6,33.333333333333336
Florida,"Key West, FL",EYW,Republic Airlines,133,8.5546875
Florida,"Key West, FL",EYW,United Airlines,124,17.73109243697479
Florida,"Melbourne, FL",MLB,Allegiant Air,25,10.28
Florida,"Melbourne, FL",MLB,Delta Air Lines,104,8.201923076923077
Florida,"Melbourne, FL",MLB,PSA Airlines,93,29.408602150537636
Florida,"Miami, FL",MIA,American Airlines,1327,24.15905631659056
Florida,"Miami, FL",MIA,Delta Air Lines,1001,21.92192192192192
Florida,"Miami, FL",MIA,Endeavor Air,7,29.142857142857142
Florida,"Miami, FL",MIA,Envoy Air,1396,8.236456808199122
Florida,"Miami, FL",MIA,Frontier Airlines,287,32.5709219858156
Florida,"Miami, FL",MIA,JetBlue Airways,45,8.066666666666666
Florida,"Miami, FL",MIA,Republic Airlines,73,30.323943661971832
Florida,"Miami, FL",MIA,Southwest Airlines,573,18.706093189964157
Florida,"Miami, FL",MIA,Spirit Airlines,606,20.56093489148581
Florida,"Miami, FL",MIA,United Airlines,691,18.322635135135137
Florida,"Orlando, FL",MCO,American Airlines,266,21.714828897338403
Florida,"Orlando, FL",MCO,Delta Air Lines,1864,15.015061861215708
Florida,"Orlando, FL",MCO,Frontier Airlines,1947,22.886495007882292
Florida,"Orlando, FL",MCO,JetBlue Airways,277,16.82608695652174
Florida,"Orlando, FL",MCO,Southwest Airlines,3776,15.946998377501352
Florida,"Orlando, FL",MCO,Spirit Airlines,2181,23.890697674418604
Florida,"Orlando, FL",MCO,United Airlines,1247,19.336355394378966
Florida,"Panama City, FL",ECP,American Airlines,7,57.857142857142854
Florida,"Panama City, FL",ECP,CommuteAir,31,11.4
Florida,"Panama City, FL",ECP,Delta Air Lines,139,10.985611510791367
Florida,"Panama City, FL",ECP,Endeavor Air,24,39.958333333333336
Florida,"Panama City, FL",ECP,Envoy Air,71,21.35211267605634
Florida,"Panama City, FL",ECP,Mesa Airlines,55,44.411764705882355
Florida,"Panama City, FL",ECP,PSA Airlines,39,22.342105263157894
Florida,"Panama City, FL",ECP,Southwest Airlines,130,8.928571428571429
Florida,"Pensacola, FL",PNS,CommuteAir,84,17.575
Florida,"Pensacola, FL",PNS,Delta Air Lines,163,5.098159509202454
Florida,"Pensacola, FL",PNS,Endeavor Air,43,14.452380952380953
Florida,"Pensacola, FL",PNS,Envoy Air,110,14.155963302752294
Florida,"Pensacola, FL",PNS,Frontier Airlines,15,16.0
Florida,"Pensacola, FL",PNS,Mesa Airlines,13,27.416666666666668
Florida,"Pensacola, FL",PNS,PSA Airlines,155,37.36
Florida,"Pensacola, FL",PNS,SkyWest Airlines,13,19.384615384615383
Florida,"Pensacola, FL",PNS,Southwest Airlines,124,15.958677685950413
Florida,"Pensacola, FL",PNS,Spirit Airlines,56,13.660714285714286
Florida,"Pensacola, FL",PNS,United Airlines,58,13.574074074074074
Florida,"Punta Gorda, FL",PGD,Allegiant Air,536,17.015151515151516
Florida,"Sanford, FL",SFB,Allegiant Air,741,13.994535519125684
Florida,"Sarasota/Bradenton, FL",SRQ,Allegiant Air,247,16.632653061224488
Florida,"Sarasota/Bradenton, FL",SRQ,American Airlines,119,58.58620689655172
Florida,"Sarasota/Bradenton, FL",SRQ,Delta Air Lines,296,13.843537414965986
Florida,"Sarasota/Bradenton, FL",SRQ,Frontier Airlines,61,34.43333333333333
Florida,"Sarasota/Bradenton, FL",SRQ,JetBlue Airways,20,29.4
Florida,"Sarasota/Bradenton, FL",SRQ,Mesa Airlines,31,11.7
Florida,"Sarasota/Bradenton, FL",SRQ,PSA Airlines,7,30.857142857142858
Florida,"Sarasota/Bradenton, FL",SRQ,Republic Airlines,5,55.4
Florida,"Sarasota/Bradenton, FL",SRQ,SkyWest Airlines,1,50.0
Florida,"Sarasota/Bradenton, FL",SRQ,Southwest Airlines,385,16.780748663101605
Florida,"Sarasota/Bradenton, FL",SRQ,United Airlines,199,29.095238095238095
Florida,"St. Petersburg, FL",PIE,Allegiant Air,579,17.51567944250871
Florida,"Tallahassee, FL",TLH,Delta Air Lines,84,7.595238095238095
Florida,"Tallahassee, FL",TLH,Endeavor Air,71,21.0
Florida,"Tallahassee, FL",TLH,Envoy Air,293,10.508710801393729
Florida,"Tallahassee, FL",TLH,JetBlue Airways,7,0.42857142857142855
Florida,"Tallahassee, FL",TLH,PSA Airlines,3,0.0
Florida,"Tampa, FL",TPA,American Airlines,231,17.24890829694323
Florida,"Tampa, FL",TPA,Delta Air Lines,1016,14.558300395256918
Florida,"Tampa, FL",TPA,Envoy Air,101,19.0752688172043
Florida,"Tampa, FL",TPA,Frontier Airlines,574,19.590017825311943
